"%s was successfully added to your shopping cart.","%s a été ajouté à votre panier."
"Cart Subtotal","Sous-total"
"Checkout","Passer commande"
"Continue shopping","Continuer mes achats"
"Newsletter Sign Up","Inscription Newsletter"
"Pay your order","Commander avec obligation de paiement"
"Place Order","Passer commande"
"Place Order with Obligation to Purchase","Commander avec obligation de paiement"
"Please type the letters below","Veuillez saisir les lettres ci-dessous"
"Proceed to Checkout","Passer commande"
"Shopping Cart","Panier"
"Store information:","Coordonnées commerçants :"
"View cart & checkout","Aller au panier"
