"active";"category_name";"reference";"name";"description";"price";"quantity";"picture_link"
1;"Maillots 1 pièce";"L2325m";"Trikini sexy mauve (Taille: 36/38, Couleur: mauve)";"Superbe trikini mauve avec mousse amovible. S''attache autour du cou et dans le dos avec ficelle pour un meilleur ajustement, tour de cou amovible. Composition: 100% Polyester.'";"8.90";1;"http://www.chantefeuille.fr/4064-6391-thickbox/trikini-sexy-mauve.jpg"
1;"Maillots 1 pièce";"L2325n";"Trikini sexy noir (Taille: 36/38, Couleur: noir)";"Superbe trikini noir avec mousse amovible. S''attache autour du cou et dans le dos avec ficelle pour un meilleur ajustement, tour de cou amovible. Composition: 100% Polyester.'";"8.90";0;"http://www.chantefeuille.fr/4065-6392-thickbox/trikini-sexy-noir.jpg"
1;"Maillots 1 pièce";"L2325r";"Trikini sexy rouge (Taille: 36/38, Couleur: rouge)";"Superbe trikini rouge avec mousse amovible. S''attache autour du cou et dans le dos avec ficelle pour un meilleur ajustement, tour de cou amovible. Composition: 100% Polyester.'";"8.90";1;"http://www.chantefeuille.fr/4066-6393-thickbox/trikini-sexy-rouge.jpg"
1;"Maillots de bain";"L2282bl";"Maillot de bain triangle sexy avec dentelle (Taille: 36/38, Couleur: bleu)";"Maillot de bain sexy 2 pièces comprenant un haut triangle sans rembourage avec dentelle blanche, s''attache dans le cou et dans le dos pour un meilleur ajustement. Culotte sexy assortie, s''attache sur les côtés. Composition: 90% Polyester - 10% Elasthane.'";"6.90";2;"http://www.chantefeuille.fr/4037-6357-thickbox/maillot-de-bain-triangle-sexy-avec-dentelle.jpg"
1;"Maillots de bain";"L2282c";"Maillot de bain triangle sexy  avec dentelle (Taille: 36/38, Couleur: corail)";"Maillot de bain sexy 2 pièces comprenant un haut triangle sans rembourage avec dentelle noire, s''attache dans le cou et dans le dos pour un meilleur ajustement. Culotte sexy assortie, s''attache sur les côtés. Composition: 90% Polyester - 10% Elasthane.'";"6.90";1;"http://www.chantefeuille.fr/4038-6359-thickbox/maillot-de-bain-triangle-sexy-avec-dentelle.jpg"
1;"Maillots de bain";"L2282m";"Maillot de bain triangle sexy avec dentelle (Taille: 36/38, Couleur: mauve)";"Maillot de bain sexy 2 pièces comprenant un haut triangle sans rembourage avec dentelle blanche, s''attache dans le cou et dans le dos pour un meilleur ajustement. Culotte sexy assortie, s''attache sur les côtés. Composition: 90% Polyester - 10% Elasthane.'";"6.90";3;"http://www.chantefeuille.fr/4039-6361-thickbox/maillot-de-bain-triangle-sexy-avec-dentelle.jpg"
1;"Maillots de bain";"L3007l";"Maillot de bain triangle sexy léopard avec dentelle noir (Taille: 36/38, Couleur: léopard)";"Maillot de bain sexy léopard comprenant un haut triangle sans rembourage avec dentelle noire, s''attache dans le cou et dans le dos pour un meilleur ajustement. Culotte sexy assortie, s''attache sur les côtés. Composition: 90% Polyester - 10% Elasthane.'";"6.90";6;"http://www.chantefeuille.fr/4040-6363-thickbox/maillot-de-bain-triangle-sexy-leopard-avec-dentelle-noir.jpg"
1;"Maillots de bain";"L3036bc";"Maillot de bain triangle sexy bleu ciel avec dentelle noir (Taille: 36/38, Couleur: bleu)";"Maillot de bain sexy bleu comprenant un haut triangle sans rembourage avec dentelle noire, s''attache dans le cou et dans le dos pour un meilleur ajustement. Culotte sexy assortie, s''attache sur les côtés. Composition: 90% Polyester - 10% Elasthane.'";"6.90";1;"http://www.chantefeuille.fr/4041-6365-thickbox/maillot-de-bain-triangle-sexy-bleu-ciel-avec-dentelle-noir.jpg"
1;"Maillots de bain";"L3038f";"Maillot de bain triangle sexy fushia avec dentelle noir (Taille: 36/38, Couleur: fushia)";"Maillot de bain sexy fushia comprenant un haut triangle sans rembourage avec dentelle noire, s''attache dans le cou et dans le dos pour un meilleur ajustement. Culotte sexy assortie, s''attache sur les côtés. Composition: 90% Polyester - 10% Elasthane.'";"6.90";0;"http://www.chantefeuille.fr/4042-6366-thickbox/maillot-de-bain-triangle-sexy-fushia-avec-dentelle-noir.jpg"
1;"Maillots de bain";"L3048r";"Maillot de bain triangle sexy rouge (Taille: 36/38, Couleur: rouge)";"Maillot de bain sexy rouge comprenant un haut triangle sans rembourage, s''attache dans le cou et dans le dos pour un meilleur ajustement. Culotte sexy assortie, s''attache sur les côtés. Composition: 90% Polyester - 10% Elasthane.'";"6.90";3;"http://www.chantefeuille.fr/4043-6367-thickbox/maillot-de-bain-triangle-sexy-rouge.jpg"
