"active";"category_name";"reference";"name";"description";"price";"quantity";"picture_link"
1;"Maillots 2 pièces";"CP40334b-L";"Maillot de bain bandeau 2 pièces blanc ""Twist"" (Taille: L/40, Couleur: blanc)";"Superbe maillot bandeau 2 pièces blanc . Doux et chic �  la fois . Composition 82% polyester 18% elasthane";"13.90";3;"http://www.chantefeuille.fr/4472-thickbox/maillot-de-bain-bandeau-2-pieces-blanc-twist.jpg"
1;"Maillots 2 pièces";"CP40334b-M";"Maillot de bain bandeau 2 pièces blanc ""Twist"" (Taille: M/38, Couleur: blanc)";"Superbe maillot bandeau 2 pièces blanc . Doux et chic �  la fois . Composition 82% polyester 18% elasthane";"13.90";1;"http://www.chantefeuille.fr/4472-thickbox/maillot-de-bain-bandeau-2-pieces-blanc-twist.jpg"
1;"Maillots 2 pièces";"CP40334b-S";"Maillot de bain bandeau 2 pièces blanc ""Twist"" (Taille: S/36, Couleur: blanc)";"Superbe maillot bandeau 2 pièces blanc . Doux et chic �  la fois . Composition 82% polyester 18% elasthane";"13.90";2;"http://www.chantefeuille.fr/4472-thickbox/maillot-de-bain-bandeau-2-pieces-blanc-twist.jpg"
1;"Maillots 2 pièces";"CP40334n-L";"Maillot de bain bandeau 2 pièces noir ""Twist"" (Taille: L/40, Couleur: noir)";"Superbe maillot bandeau 2 pièces noir . Doux et chic �  la fois . Composition 82% polyester 18% elasthane";"13.90";1;"http://www.chantefeuille.fr/4473-thickbox/maillot-de-bain-bandeau-2-pieces-noir-twist.jpg"
1;"Maillots 2 pièces";"CP40334n-M";"Maillot de bain bandeau 2 pièces noir ""Twist"" (Taille: M/38, Couleur: noir)";"Superbe maillot bandeau 2 pièces noir . Doux et chic �  la fois . Composition 82% polyester 18% elasthane";"13.90";0;"http://www.chantefeuille.fr/4473-thickbox/maillot-de-bain-bandeau-2-pieces-noir-twist.jpg"
1;"Maillots 2 pièces";"CP40334n-S";"Maillot de bain bandeau 2 pièces noir ""Twist"" (Taille: S/36, Couleur: noir)";"Superbe maillot bandeau 2 pièces noir . Doux et chic �  la fois . Composition 82% polyester 18% elasthane";"13.90";0;"http://www.chantefeuille.fr/4473-thickbox/maillot-de-bain-bandeau-2-pieces-noir-twist.jpg"
1;"Maillots de bain";"CP40322n";"Trikini noir avec volant. (Taille: 36/38, Couleur: noir)";"Trikini noir avec volant, s''attache autour du cou et dans le dos. Composition: 90% Polyester - 10% Elasthane.'";"7.30";2;"http://www.chantefeuille.fr/3901-6240-thickbox/trikini-noir-avec-volant.jpg"
1;"Maillots de bain";"CP40324-l";"Maillot de bain sexy bandeau rose (Taille: L (40), Couleur: rose)";"Maillot de bain bandeau corail, s''attache dans le dos et le tour de cou est amovible, culotte assorti. Composition: 82% Polyamide - 18% Elasthane.'";"11.95";2;"http://www.chantefeuille.fr/3579-thickbox/maillot-de-bain-sexy-bandeau-rose.jpg"
1;"Maillots de bain";"CP40324-m";"Maillot de bain sexy bandeau rose (Taille: M (38), Couleur: rose)";"Maillot de bain bandeau corail, s''attache dans le dos et le tour de cou est amovible, culotte assorti. Composition: 82% Polyamide - 18% Elasthane.'";"11.95";0;"http://www.chantefeuille.fr/3579-thickbox/maillot-de-bain-sexy-bandeau-rose.jpg"
1;"Maillots de bain";"CP40324-s";"Maillot de bain sexy bandeau rose (Taille: S (36), Couleur: rose)";"Maillot de bain bandeau corail, s''attache dans le dos et le tour de cou est amovible, culotte assorti. Composition: 82% Polyamide - 18% Elasthane.'";"11.95";0;"http://www.chantefeuille.fr/3579-thickbox/maillot-de-bain-sexy-bandeau-rose.jpg"
1;"Maillots de bain";"CP40326-l";"Maillot de bain sexy orange (Taille: L (40), Couleur: orange)";"Maillot de bain de qualité orange composé d''un haut avec rembourage amovible, bretelles réglables et culotte assorti. Composition: 82% Polyamide - 18% Elasthane.'";"11.45";2;"http://www.chantefeuille.fr/3581-thickbox/maillot-de-bain-sexy-orange.jpg"
