"active";"category_name";"reference";"name";"color";"description";"price";"quantity";"picture_link"
1;"Maillots de bain";"L058vpb-XL";"Maillot de bain ""Frange"" vert pastel";"vert";"Maillot de bain bandeau ""Frange"" vert pastel. Rembourré avec coque amovible. Tout de cou amovible et se noue dans le dos.Composition: 82% Nylon - 18% Elasthane.";"15.00";0;"http://www.chantefeuille.fr/4253-6736-thickbox/maillot-de-bain-frange-vert-pastel.jpg"
1;"Maillots de bain";"L058vp-S";"Maillot de bain ""Frange"" vert pastel";"vert";"Maillot de bain bandeau ""Frange"" vert pastel. Rembourré avec coque amovible. Tout de cou amovible et se noue dans le dos.Composition: 82% Nylon - 18% Elasthane.";"15.00";0;"http://www.chantefeuille.fr/4253-6736-thickbox/maillot-de-bain-frange-vert-pastel.jpg"
1;"Maillots de bain";"L058vp-M";"Maillot de bain ""Frange"" vert pastel";"vert";"Maillot de bain bandeau ""Frange"" vert pastel. Rembourré avec coque amovible. Tout de cou amovible et se noue dans le dos.Composition: 82% Nylon - 18% Elasthane.";"15.00";0;"http://www.chantefeuille.fr/4253-6736-thickbox/maillot-de-bain-frange-vert-pastel.jpg"
1;"Maillots de bain";"L058vp-L";"Maillot de bain ""Frange"" vert pastel";"vert";"Maillot de bain bandeau ""Frange"" vert pastel. Rembourré avec coque amovible. Tout de cou amovible et se noue dans le dos.Composition: 82% Nylon - 18% Elasthane.";"15.00";0;"http://www.chantefeuille.fr/4253-6736-thickbox/maillot-de-bain-frange-vert-pastel.jpg"
1;"Maillots de bain";"L058vp-XL";"Maillot de bain ""Frange"" vert pastel";"vert";"Maillot de bain bandeau ""Frange"" vert pastel. Rembourré avec coque amovible. Tout de cou amovible et se noue dans le dos.Composition: 82% Nylon - 18% Elasthane.";"15.00";0;"http://www.chantefeuille.fr/4253-6736-thickbox/maillot-de-bain-frange-vert-pastel.jpg"
1;"Maillots de bain";"L058bpb-XL";"Maillot de bain ""Frange"" bleu pastel";"Bleu Clair";"Maillot de bain bandeau ""Frange"" bleu pastel. Rembourré avec coque amovible. Tout de cou amovible et se noue dans le dos.Composition: 82% Nylon - 18% Elasthane.";"15.00";0;"http://www.chantefeuille.fr/4254-6739-thickbox/maillot-de-bain-frange-bleu-pastel.jpg"
1;"Maillots de bain";"L058bp-S";"Maillot de bain ""Frange"" bleu pastel";"Bleu Clair";"Maillot de bain bandeau ""Frange"" bleu pastel. Rembourré avec coque amovible. Tout de cou amovible et se noue dans le dos.Composition: 82% Nylon - 18% Elasthane.";"15.00";0;"http://www.chantefeuille.fr/4254-6739-thickbox/maillot-de-bain-frange-bleu-pastel.jpg"
1;"Maillots de bain";"L058bp-M";"Maillot de bain ""Frange"" bleu pastel";"Bleu Clair";"Maillot de bain bandeau ""Frange"" bleu pastel. Rembourré avec coque amovible. Tout de cou amovible et se noue dans le dos.Composition: 82% Nylon - 18% Elasthane.";"15.00";1;"http://www.chantefeuille.fr/4254-6739-thickbox/maillot-de-bain-frange-bleu-pastel.jpg"
1;"Maillots de bain";"L058bp-L";"Maillot de bain ""Frange"" bleu pastel";"Bleu Clair";"Maillot de bain bandeau ""Frange"" bleu pastel. Rembourré avec coque amovible. Tout de cou amovible et se noue dans le dos.Composition: 82% Nylon - 18% Elasthane.";"15.00";1;"http://www.chantefeuille.fr/4254-6739-thickbox/maillot-de-bain-frange-bleu-pastel.jpg"
1;"Maillots de bain";"L058bp-XL";"Maillot de bain ""Frange"" bleu pastel";"Bleu Clair";"Maillot de bain bandeau ""Frange"" bleu pastel. Rembourré avec coque amovible. Tout de cou amovible et se noue dans le dos.Composition: 82% Nylon - 18% Elasthane.";"15.00";0;"http://www.chantefeuille.fr/4254-6739-thickbox/maillot-de-bain-frange-bleu-pastel.jpg"
