"active";"category_name";"reference";"name";"description";"price";"quantity";"picture_link"
1;"Bas de maillot";"adelab-L";"Bas de maillot culotte ""Adela"" (Taille: L/40, Couleur: noir)";"bas de maillot culotte classique ""Foxi"" noir. Composition: 80% Polyamide - 20% Elasthane. Haut de maillot vendu séparément.";"8.00";3;"http://www.chantefeuille.fr/3868-6182-thickbox/bas-de-maillot-culotte-adela.jpg"
1;"Bas de maillot";"adelab-M";"Bas de maillot culotte ""Adela"" (Taille: M/38, Couleur: noir)";"bas de maillot culotte classique ""Foxi"" noir. Composition: 80% Polyamide - 20% Elasthane. Haut de maillot vendu séparément.";"8.00";3;"http://www.chantefeuille.fr/3868-6182-thickbox/bas-de-maillot-culotte-adela.jpg"
1;"Bas de maillot";"adelab-S";"Bas de maillot culotte ""Adela"" (Taille: S/36, Couleur: noir)";"bas de maillot culotte classique ""Foxi"" noir. Composition: 80% Polyamide - 20% Elasthane. Haut de maillot vendu séparément.";"8.00";3;"http://www.chantefeuille.fr/3868-6182-thickbox/bas-de-maillot-culotte-adela.jpg"
1;"Bas de maillot";"adelab-XL";"Bas de maillot culotte ""Adela"" (Taille: XL/42, Couleur: noir)";"bas de maillot culotte classique ""Foxi"" noir. Composition: 80% Polyamide - 20% Elasthane. Haut de maillot vendu séparément.";"8.00";2;"http://www.chantefeuille.fr/3868-6182-thickbox/bas-de-maillot-culotte-adela.jpg"
1;"Haut de maillot";"adelah-L";"Haut de maillot bandeau ""Adela"" (Taille: L/40, Couleur: noir)";"Haut de maillot bandeau ""Adela"" noir. Coque amovible. Tour de cou réglable et amovible, clip dans le dos. Composition: 80% polyamide - 20% elasthane. Bas de maillot vendu séparément.";"8.00";3;"http://www.chantefeuille.fr/3867-6181-thickbox/haut-de-maillot-bandeau-adela.jpg"
1;"Haut de maillot";"adelah-M";"Haut de maillot bandeau ""Adela"" (Taille: M/38, Couleur: noir)";"Haut de maillot bandeau ""Adela"" noir. Coque amovible. Tour de cou réglable et amovible, clip dans le dos. Composition: 80% polyamide - 20% elasthane. Bas de maillot vendu séparément.";"8.00";3;"http://www.chantefeuille.fr/3867-6181-thickbox/haut-de-maillot-bandeau-adela.jpg"
1;"Haut de maillot";"adelah-S";"Haut de maillot bandeau ""Adela"" (Taille: S/36, Couleur: noir)";"Haut de maillot bandeau ""Adela"" noir. Coque amovible. Tour de cou réglable et amovible, clip dans le dos. Composition: 80% polyamide - 20% elasthane. Bas de maillot vendu séparément.";"8.00";3;"http://www.chantefeuille.fr/3867-6181-thickbox/haut-de-maillot-bandeau-adela.jpg"
1;"Haut de maillot";"adelah-XL";"Haut de maillot bandeau ""Adela"" (Taille: XL/42, Couleur: noir)";"Haut de maillot bandeau ""Adela"" noir. Coque amovible. Tour de cou réglable et amovible, clip dans le dos. Composition: 80% polyamide - 20% elasthane. Bas de maillot vendu séparément.";"8.00";2;"http://www.chantefeuille.fr/3867-6181-thickbox/haut-de-maillot-bandeau-adela.jpg"
1;"Bas de maillot";"B0615bb-S";"Bas de maillot bikini ""Palawan"" multicolore (Taille: XS/34, Couleur: multicolore)";"Bikini ""Palawan"" se noue de chaque côté. Composition: 82% Polyamide - 18% Elasthane. Haut de maillot vendu séparément.";"5.00";1;"http://www.chantefeuille.fr/3501-5668-thickbox/bas-de-maillot-bikini-palawan-multicolore.jpg"
1;"Haut de maillot";"B0615bH-S";"Haut de maillot bandeau ""Palawan"" multicolore (Taille: XS/34, Couleur: multicolore)";"Haut de maillot bandeau ""Palawan"". Rembourré avec coque amovible. Se noue autour du cou et dans le dos. Composition: 82% Nylon - 18% Elasthane. Bas de maillot vendu séparément.";"5.00";1;"http://www.chantefeuille.fr/3500-5667-thickbox/haut-de-maillot-bandeau-palawan-multicolore.jpg"
1;"Bas de maillot";"B0615cb-L";"Bas de maillot culotte ""Palawan"" multicolore (Taille: M/38, Couleur: multicolore)";"Bas de maillot culotte ""Palawan"", derrière pas échancré. Composition: 82% Nylon - 18% Elasthane. Haut de maillot vendu séparément.";"5.00";0;"http://www.chantefeuille.fr/3503-5670-thickbox/bas-de-maillot-culotte-palawan-multicolore.jpg"
1;"Bas de maillot";"B0615cb-M";"Bas de maillot culotte ""Palawan"" multicolore (Taille: S/36, Couleur: multicolore)";"Bas de maillot culotte ""Palawan"", derrière pas échancré. Composition: 82% Nylon - 18% Elasthane. Haut de maillot vendu séparément.";"5.00";2;"http://www.chantefeuille.fr/3503-5670-thickbox/bas-de-maillot-culotte-palawan-multicolore.jpg"
1;"Bas de maillot";"B0615cb-S";"Bas de maillot culotte ""Palawan"" multicolore (Taille: XS/34, Couleur: multicolore)";"Bas de maillot culotte ""Palawan"", derrière pas échancré. Composition: 82% Nylon - 18% Elasthane. Haut de maillot vendu séparément.";"5.00";2;"http://www.chantefeuille.fr/3503-5670-thickbox/bas-de-maillot-culotte-palawan-multicolore.jpg"
1;"Haut de maillot";"B0615cH-L";"Haut de maillot triangle ""Palawan"" multicolore (Taille: M/38, Couleur: multicolore)";"Haut de maillot triangle ""Palawan"". Rembourré avec coque amovible. Se noue autour du cou et dans le dos. Composition: 82% Nylon - 18% Elasthane. Bas de maillot vendu séparément.";"5.00";0;"http://www.chantefeuille.fr/3502-5669-thickbox/haut-de-maillot-triangle-palawan-multicolore.jpg"
1;"Haut de maillot";"B0615cH-M";"Haut de maillot triangle ""Palawan"" multicolore (Taille: S/36, Couleur: multicolore)";"Haut de maillot triangle ""Palawan"". Rembourré avec coque amovible. Se noue autour du cou et dans le dos. Composition: 82% Nylon - 18% Elasthane. Bas de maillot vendu séparément.";"5.00";2;"http://www.chantefeuille.fr/3502-5669-thickbox/haut-de-maillot-triangle-palawan-multicolore.jpg"
1;"Haut de maillot";"B0615cH-S";"Haut de maillot triangle ""Palawan"" multicolore (Taille: XS/34, Couleur: multicolore)";"Haut de maillot triangle ""Palawan"". Rembourré avec coque amovible. Se noue autour du cou et dans le dos. Composition: 82% Nylon - 18% Elasthane. Bas de maillot vendu séparément.";"5.00";2;"http://www.chantefeuille.fr/3502-5669-thickbox/haut-de-maillot-triangle-palawan-multicolore.jpg"
1;"Bas de maillot";"B0615db-S";"Bas de maillot culotte ""Palawan"" multicolore (Taille: XS/34, Couleur: multicolore)";"Bas de maillot culotte Palawan"", derrière pas échancré. Composition: 82% Nylon - 18% Elasthane. Haut de maillot vendu séparément.";"5.00";1;"http://www.chantefeuille.fr/3505-5672-thickbox/bas-de-maillot-culotte-palawan-multicolore.jpg"
1;"Haut de maillot";"B0615dH-S";"Haut de maillot bandeau ""palawan"" multicolore (Taille: XS/34, Couleur: multicolore)";"Haut de maillot bandeau ""Palawan"". Rembourré avec coque non amovible. Se noue autour du cou et dans le dos. Composition: 82% Polyamide - 18% Elasthane. Bas de maillot vendu séparément.";"5.00";1;"http://www.chantefeuille.fr/3504-5671-thickbox/haut-de-maillot-bandeau-palawan-multicolore.jpg"
