"sku","ps_url","cost","supplier","price"
"tessa-fushia","bikini/536-bikini-maillot-de-bain-push-up-fushia.html","15.000000","Chantefeuille","35.500000"
"OB1179","bikini/15-bikini-a-carreaux-juicy.html","15.870000","Starnet","34.500000"
"OB1268","monokini-maillot-de-bain/13-monokini-body-echancre-effet-lycra.html","11.890000","Starnet","29.800000"
"OB1338","bikini/12-bikini-de-militaire.html","13.390000","Starnet","32.000000"
"inezh","bikini/503-bikini-maillot-de-bain-noir-inez.html","14.000000","Chantefeuille","33.000000"
" 81357","bikini/380-maillot-de-bain-bikini-2-pieces-a-nouer.html","14.950000","Starnet","37.000000"
"MB65","monokini-maillot-de-bain/21-monokini-blanc-echancre-deco-argentee.html","12.480000","Silamoda","31.200000"
"MB64","monokini-maillot-de-bain/22-monokini-noir-echancre-poitrine-brillante.html","12.480000","Silamoda","31.200000"
"MB62","bikini/24-bikini-noir-avec-rivets.html","12.480000","Silamoda","31.200000"
"MB102","monokini-maillot-de-bain/473-monokini-avec-rembourrage-et-dos-ouvert.html","12.950000","Silamoda","29.000000"
"D135","bikini/501-bikini-maillot-de-bain-bandeau-jaune-aurora.html","16.600000","Chantefeuille","39.000000"
"Karla","bikini/482-bikini-maillot-de-bain-rouge-.html","15.000000","Chantefeuille","35.000000"
"MB111","bikini/464-maillot-de-bain-bikini-rembourre-avec-bijoux-nacre.html","12.950000","Silamoda","29.000000"
"Palm Beach","bikini/551-mini-bikini-maillot-de-bain-lycra-satine.html","19.790000","Mysexybikini","49.000000"
"MB47","bikini/30-bikini-bandeau-tachete-vert-violet.html","8.740000","Silamoda","21.800000"
"zytah","bikini/504-bikini-maillot-de-bain-marron-zyta.html","14.000000","Chantefeuille","33.000000"
"Sherill","bikini/485-bikini-maillot-de-bain-rose-et-noir.html","12.000000","Chantefeuille","29.000000"
"Mirela","bikini/486-bikini-maillot-de-bain-marine.html","15.250000","Chantefeuille","39.000000"
"Olga","bikini/487-bikini-maillot-de-bain-fushia.html","14.750000","Chantefeuille","39.000000"
"Giada","bikini/498-bikini-push-up-maillot-de-bain-bandeau.html","16.600000","Chantefeuille","39.000000"
"twist","bikini/254-maillot-de-bain-bleu-twist.html","15.000000","Chantefeuille","36.000000"
"LC15003","bikini/37-bikini-2-pieces-noir-et-blanc-khloris.html","12.400000","Starnet","29.950000"
"LC9735","bikini/38-bikini-2-pieces-noir-et-rouge-naila.html","13.100000","Starnet","31.500000"
"LC19052","bikini/39-bikini-blanc-2-pieces-iritea.html","15.070000","Starnet","33.500000"
"LC9730","bikini/40-bikini-sexy-noir-aspect-vinyl-dianthe.html","10.630000","Starnet","25.500000"
"LC9731","bikini/41-bikini-sexy-blanc-amphrite.html","10.220000","Starnet","24.500000"
"LC19053","bikini/510-bikini-maillot-de-bain-noir-et-or.html","15.070000","Starnet","33.500000"
"PR12570","home/477-pareo-mousseline-de-soie-bleu.html","7.900000","Silamoda","19.000000"
" 81358","bikini/379-maillot-de-bain-bikini-2-pieces-spandex.html","14.950000","Starnet","37.000000"
"BAHAMAS  Léopard","bikini/553-bikini-maillot-de-bain-string-leopard-lacets.html","24.190000","Mysexybikini","59.900000"
"BAHAMAS Shorty","bikini/562-bikini-maillot-de-bain-shorty-sexy.html","23.830000","Mysexybikini","59.000000"
"RP12819","robe-de-plage-pareo/550-robe-de-plage-multicolore.html","9.820000","Silamoda","22.600000"
"SD05-ELISABETTA","bikini/419-maillot-de-bain-bikini-push-up-elisabetta.html","32.200000","Shogun","51.500000"
"Starlette","monokini-maillot-de-bain/538-monokini-maillot-de-bain-starlette.html","12.900000","Chantefeuille","30.500000"
"D174  Francesca","rose/499-bikini-maillot-de-bain-bandeau.html","16.600000","Chantefeuille","39.000000"
"PR11986","robe-de-plage-pareo/479-pareo-beige-mousseline-de-soie.html","7.900000","Silamoda","19.000000"
"SAONA ","robe-de-plage-pareo/545-mini-jupe-pareo-de-plage-en-voile-siviglia.html","11.710000","Mysexybikini","29.000000"
"RP12820","home/546-robe-de-plage-glamour-bleu.html","9.820000","Silamoda","22.600000"
"BALEARES ","bikini/547-mini-bikini-maillot-de-bain-string-licra.html","23.830000","Mysexybikini","59.000000"
"DUBAÏ String","bikini/548-bikini-string-maillot-de-bain-string-lycra-satine.html","24.200000","Mysexybikini","59.900000"
"PR12571 ","robe-de-plage-pareo/480-pareo-multicolors-mousseline-de-soie.html","7.900000","Silamoda","19.000000"
"RP12818 ","robe-de-plage-pareo/549-robe-de-plage-fashion-orange.html","9.820000","Silamoda","22.600000"
"GLAMOUR-2","robe-de-plage-pareo/544-pareo-mini-jupe-d-ete-metallise-argent-ou-or.html","22.220000","Mysexybikini","55.000000"
"wally-1","bikini/523-bikini-maillot-de-bain-bandeau-corail.html","15.000000","Chantefeuille","35.500000"
"GLAMOUR-3","robe-de-plage-pareo/543-pareo-mini-jupe-d-ete-metallise-.html","19.000000","Mysexybikini","55.000000"
"Anna2","bikini/488-bikini-maillot-de-bain-americain-rose-fluo.html","16.600000","Chantefeuille","39.000000"
"D204jh D204jb","bikini/489-bikini-maillot-de-bain-americain-jaunefluo.html","16.600000","Chantefeuille","39.000000"
"MB110 ","monokini-maillot-de-bain/465-monokini-rembourre-deco-strass.html","12.950000","Silamoda","29.000000"
"MB109","bikini/466-bikini-coque-avec-anneaux-dores.html","12.950000","Silamoda","29.000000"
"MB108","bikini/467-maillot-de-bain-bikini-bandeau-avec-deco-strass.html","12.950000","Silamoda","29.000000"
"MB107","bikini/468-maillot-de-bain-bikini-coque-avec-deco-strass.html","12.950000","Silamoda","29.000000"
"MB106","bikini/469-maillot-de-bain-bikini-avec-anneaux-dores.html","12.950000","Silamoda","29.000000"
"MB104","bikini/471-maillot-de-bain-bikini-a-pois-avec-culotte-ceinture.html","12.950000","Silamoda","29.000000"
"LC19060-3","bikini/353-maillot-de-bain-bikini-basanti-rouge.html","18.250000","Starnet","40.500000"
"MB105","bikini/470-maillot-de-bain-bikini-sexy-leopard-avec-anneaux-dores.html","12.950000","Silamoda","29.000000"
"GLAMOUR1","robe-de-plage-pareo/542-pareo-mini-jupe-d-ete-transbronzant-fine-resille.html","15.600000","Mysexybikini","49.000000"
"MB103","bikini/472-maillot-de-bain-rose-bikini-avec-dorures-et-bijoux.html","12.850000","Silamoda","29.000000"
"LC19061","bikini/352-maillot-de-bain-bikini-lasair-gris.html","18.250000","Starnet","40.500000"
"MB74","bikini/101-bikini-rivets.html","12.480000","Silamoda","25.000000"
"MB76","bikini/103-bikini-blanc-anneaux-sylviane.html","12.480000","Silamoda","31.000000"
"MB77","bikini/104-bikini-carreaux-et-coeurs-sylvia.html","12.480000","Silamoda","29.500000"
"MB82","bikini/105-bikini-golden-beach.html","12.480000","Silamoda","27.500000"
"MB81","bikini/106-bikini-bijoux-audrey.html","12.480000","Silamoda","27.500000"
"MB80","bikini/107-bikini-coeurs-argentes-laurence.html","12.480000","Silamoda","29.000000"
"MB79","bikini/108-bikini-avec-dorures-celia.html","12.480000","Silamoda","29.000000"
"MB78","bikini/109-bikini-savane-jane.html","12.480000","Silamoda","29.000000"
"BAHAMAS","bikini/552-bikini-maillot-de-bain-string-lacets.html","23.020000","Mysexybikini","57.000000"
"OB1376","bikini/112-maillot-de-bain-litchi.html","14.950000","Starnet","36.000000"
"TAHITI ","bikini/559-micro-bikini-mini-maillot-de-bain-en-tulle.html","24.200000","Mysexybikini","59.900000"
"OB1379","monokini-maillot-de-bain/115-monokini-silvergold.html","14.950000","Starnet","32.000000"
"81173","monokini-maillot-de-bain/117-monokini-or-leg-avenue.html","26.240000","Starnet","53.000000"
"8490","bikini/118-maillot-de-bain-ivresse.html","10.110000","Starnet","26.000000"
"BL4711-B","bikini/120-bikini-strass.html","35.700000","Starnet","69.500000"
"MB84","bikini/121-bikini-brillant-multicolore.html","12.480000","Silamoda","29.000000"
"BAHAMAS Girafe","bikini/554-bikini-maillot-de-bain-string-girafe-lacets.html","26.250000","Mysexybikini","61.000000"
"BAHIA","bikini/555-bikini-maillot-de-bain-string-en-lycra-satine.html","25.040000","Mysexybikini","62.000000"
"MB96 ","bikini/463-maillot-de-bain-bikini-sexy-avec-bijoux-poitrine.html","12.950000","Silamoda","29.000000"
"GLAMOUR ","robe-de-plage-pareo/541-pareo-mini-jupe-d-ete-lycra-satine.html","15.750000","Mysexybikini","39.000000"
"MB98 ","bikini/461-maillot-de-bain-bikini-sexy-noir-et-blanc-a-pois.html","12.950000","Silamoda","29.000000"
"MB97","bikini/462-maillot-de-bain-noir-bikini-coque-avec-culotte-a-noeuds-et-pastilles-miroir.html","12.950000","Silamoda","29.000000"
"GRENADINE ","robe-de-plage-pareo/540-robe-de-plage-ou-sexy-robe-de-soiree.html","22.980000","Mysexybikini","56.900000"
"LC19061-1","bikini/351-maillot-de-bain-bikini-lasair-orange.html","18.250000","Starnet","40.500000"
"PR12062","robe-de-plage-pareo/478-pareo-rose-mousseline-de-soie.html","7.900000","Silamoda","19.000000"
"LC19060-2","bikini/349-maillot-de-bain-bikini-basanti-orange.html","18.290000","Starnet","40.500000"
"LC19060","bikini/350-maillot-de-bain-bikini-basanti-blanc.html","18.290000","Starnet","40.500000"
"Petit volant noir","bikini/530-bikini-maillot-de-bain-bandeau-noir.html","15.000000","Chantefeuille","35.500000"
"L2362 Wally","bikini/522-bikini-maillot-de-bain-bandeau-bleu.html","15.000000","Chantefeuille","45.500000"
"LC19060-1","bikini/348-maillot-de-bain-bikini-basanti-jaune.html","18.290000","Starnet","40.500000"
"Amphitrite","bikini/144-bikini-sexy-noir-amphitrite.html","10.220000","Starnet","23.000000"
"Odeleya","bikini/145-maillot-de-bain-noir-et-rose-2-pieces-odeleya.html","11.990000","Starnet","31.000000"
"SENSUEL","robe-de-plage-pareo/539-robe-de-plage-ou-pareo-sexy.html","19.790000","Mysexybikini","49.000000"
"HC006","accessoire/383-coussinets-de-mousse-pour-bikini-.html","5.240000","Starnet","10.500000"
"Paula","bikini/484-bikini-maillot-de-bain-noir.html","15.000000","Chantefeuille","35.000000"
"MB56","bikini/322-maillot-de-bain-bikini-triangle-vert-violet.html","6.800000","Silamoda","21.800000"
"Messi ","bikini/321-maillot-de-bain-marron-messi-.html","15.250000","Chantefeuille","39.500000"
"Petit volant rouge","bikini/529-bikini-maillot-de-bain-bandeau-rouge.html","15.000000","Chantefeuille","35.500000"
"BK100514","bikini/291-bikini-rose-maillot-de-bain-mon-jardin-de-roses.html","24.710000","Starnet","49.500000"
"Anna","bikini/497-bikini-maillot-de-bain-bandeau-anna.html","17.600000","Chantefeuille","41.500000"
"Alice-1","bikini/163-maillot-de-bain-2-pieces-parme-avec-bijoux-innocente.html","12.000000","Chantefeuille","29.000000"
"Alice","bikini/164-maillot-de-bain-2-pieces-choco-avec-bijoux-innocente.html","12.000000","Chantefeuille","29.000000"
"MB99 ","bikini/460-maillot-de-bain-bleu-bikini-fleuri-printanier.html","12.950000","Silamoda","29.000000"
"Sandra","bikini/168-maillot-de-bain-bijoux-ultra-tendance-isadora-.html","12.000000","Chantefeuille","29.000000"
"Dagadom","bikini/170-maillot-de-bain-2-pieces-noir-et-lisseret-multicolore-julianna.html","12.000000","Chantefeuille","29.000000"
"tomi","bikini/506-bikini-maillot-de-bain-bandeau-raye.html","16.500000","Chantefeuille","39.000000"
"rozal","bikini/507-bikini-maillot-de-bain-push-up-noir.html","20.000000","Chantefeuille","47.000000"
"monaco","bikini/508-bikini-maillot-de-bain-triangle-bleu.html","19.000000","Chantefeuille","45.000000"
"BK100516","bikini/292-bikini-bleu-maillot-de-bain-papillon-de-nuit.html","24.710000","Starnet","49.500000"
"MB101","bikini/458-maillot-de-bain-violet-bikini-fashion-avec-deco-tresses.html","12.950000","Silamoda","29.000000"
"MB100 blk","bikini/459-maillot-de-bain-bikini-sexy-a-boucles-dorees.html","12.950000","Silamoda","29.000000"
"Victoria","bikini/483-bikini-maillot-de-bain-marron.html","15.000000","Chantefeuille","35.000000"
"SD05-INES-BI","bikini/557-maillot-de-bain-bikini-noir-ines.html","28.670000","Moi","42.000000"
"BAHIA Tanga","bikini/560-bikini-maillot-de-bain-tanga.html","25.850000","Mysexybikini","64.000000"
"MIKI","bikini/208-maillot-2-pieces-haut-de-gamme-miki.html","15.000000","Chantefeuille","35.000000"
"KALET","bikini/213-maillot-de-bain-2-pieces-kalet.html","15.000000","Chantefeuille","35.000000"
"FANTA-r","bikini/212-maillot-de-bain-2-pieces-fanta2.html","13.500000","En stock ici","35.000000"
