"sku","ps_url","cost","supplier","price"
"8549","robe-libertine/14-robe-noire-tube-ajouree.html","11.930000","Starnet","24.000000"
"8615","fetish/389-jupe-noire-fetish-transparente-dominique.html","21.920000","Busix-pro","54.000000"
"8464","robe-libertine/13-robe-noire-touche-strass.html","16.700000","Starnet","33.500000"
"8260","robe-courte/12-robe-bustier-ajouree.html","11.930000","Starnet","24.000000"
,"home/7-ipod-touch.html","200.000000",,"241.638796"
"86022","robe-libertine/15-robe-d-ete-v.html","13.180000","Starnet","26.500000"
,"home/9-ecouteurs-a-isolation-sonore-shure-se210.html","0.000000",NULL,"124.581940"
"86066","robe-libertine/16-robe-noire-courte-avec-chaine-en-argent.html","15.390000","Starnet","32.500000"
"8049","clubwear/17-robe-courte-et-legere.html","11.020000","Starnet","25.000000"
"8382","robe-libertine/18-robe-la-sensorielle.html","11.930000","Starnet","24.000000"
"86365","robe-libertine/20-robe-asymetrique-dentelle.html","22.860000","Starnet","46.000000"
"86366","robe-libertine/21-robe-noire-asymetrique-recto-verso.html","30.270000","Starnet","60.500000"
"86390","robe-libertine/22-robe-libertine-noire-sexy-ajouree.html","17.500000","Starnet","35.000000"
"86391","robe-libertine/23-robe-rose-tube-avec-strass.html","19.250000","Starnet","38.500000"
"86392","robe-libertine/24-robe-noire-cotelee.html","20.960000","Starnet","44.000000"
" 2029","clubwear/25-gants-coupes-faux-cuir.html","8.260000","Starnet","16.500000"
" 2115","marque/26-gants-noir-boucles.html","9.170000","Starnet","18.500000"
"2130","marque/27-mini-gants-noir-pailletes.html","7.290000","Starnet","15.300000"
"28021","clubwear/30-combi-short-sexy-sport.html","24.790000","Starnet","49.580000"
" 28027","robe-libertine/31-robe-noire-moulante-cloutee.html","16.800000","Starnet","35.300000"
"28037","robe-libertine/34-robe-manches-longues-convoitise.html","12.400000","Starnet","26.000000"
"28047","clubwear/35-ensemble-soutien-gorge-et-jupette-rose.html","18.590000","Starnet","39.000000"
"28049","clubwear/36-ensemble-haut-tube-et-short-rose.html","12.400000","Starnet","26.000000"
"28050","ensemble-clubwear/37-soutien-gorge-et-shorty-noir-effet-mouille.html","19.440000","Starnet","40.800000"
"28052","clubwear/38-soutien-gorge-et-shorty-noir-effet-papier-froisse.html","18.830000","Starnet","39.500000"
"28063","home/40-robe-drapee-leopard-dore.html","15.390000","Starnet","32.300000"
"28065","clubwear/41-robe-petale-de-sequins.html","22.400000","Starnet","47.500000"
"28067","clubwear/42-robe-du-soir-elegante-et-sexy.html","19.600000","Starnet","41.200000"
"28068","ensemble-libertin/43-ensemble-noir-haut-et-shorty-asymetrique.html","16.700000","Starnet","39.800000"
"28070","clubwear/44-robe-de-soiree-grise-asymetrique-et-brillante.html","16.800000","Starnet","35.300000"
"28082","clubwear/46-robe-violette-decolletee-sequins.html","29.160000","Starnet","61.200000"
"28086","robe-de-soiree/47-robe-de-soiree-rouge-avec-col-coulant-et-drape.html","26.840000","Starnet","54.000000"
"28094","robe-libertine/48-robe-decoupee-blacklight.html","12.310000","Starnet","25.000000"
"28095","robe-libertine/49-haut-bandeau-et-shorty-filet-blacklight.html","14.080000","Starnet","31.000000"
"OB226 ","home/50-robe-feline-jane.html","13.320000","Silamoda","29.300000"
"9511P-STM028","robe-libertine/51-robe-bustier-sexy-ajouree.html","17.920000","Silamoda","37.600000"
"Afrodyta TSS004","marque/52-robe-bleue-sexy-profond-decollete.html","16.950000","Silamoda","37.300000"
"Cappucino TSS003 ","robe-libertine/53-robe-bustier-cappucino.html","18.950000","Silamoda","41.500000"
"EL411","robe-libertine/54-robe-libertine-noire-decollete-profond.html","14.100000","Starnet","31.000000"
"CL088","robe-libertine/55-robe-exquise-deesse.html","12.000000","Starnet","26.500000"
"28056","robe-libertine/58-soutien-gorge-culotte-et-jarretelle-plaid-brillant.html","18.630000","Starnet","40.000000"
"28060","robe-libertine/59-robe-duo-de-voile-noir-transparent-et-sequin.html","19.250000","Starnet","42.000000"
"28084","home/60-robe-noire-asymetrique-sequins.html","40.280000","Starnet","88.600000"
"28096","clubwear/61-robe-rouge-sequins-d-etoiles.html","38.610000","Starnet","85.000000"
"28098","robe-libertine/62-robe-asymetrique-blacklight.html","13.180000","Starnet","26.500000"
"28099","clubwear/63-robe-noire-spandex-asymetrique.html","33.640000","Starnet","74.000000"
"28101","marque/64-robe-noire-spandex-drape-et-strass.html","30.210000","Starnet","66.500000"
"2959","clubwear/65-shorty-sexy-ajoure-blacklight.html","9.170000","Starnet","19.500000"
"2960","clubwear/66-shorty-sequins-taille-basse.html","16.200000","Starnet","31.500000"
"86328","robe-libertine/67-robe-v-filet-blacklight.html","11.930000","Starnet","24.000000"
"OB1264","home/68-robe-noire-obsydian-fesses-nues.html","20.060000","Starnet","41.000000"
"OB1417","clubwear/69-robe-sexy-en-cuir-synthetique-couleur-ivoire.html","17.730000","Starnet","39.000000"
"OB1419","clubwear/70-robe-clubwear-noire.html","15.370000","Starnet","34.000000"
"RL12016","robe-libertine/71-robe-longue-ouverte-sur-la-poitrine.html","18.500000","Silamoda","37.000000"
"RC12403 ","clubwear/72-robe-noire-vinyl-avec-lacage.html","22.500000","Silamoda","45.000000"
"RL12098","robe-de-soiree/73-robe-longue-cocktail-avec-brillants.html","21.900000","Silamoda","45.000000"
"RL11855","robe-de-soiree/74-robe-noire-cocktail-vinyl.html","20.800000","Silamoda","45.000000"
"RC12397","robe-libertine/75-robe-ouverte-lacee-vinyl.html","29.850000","Silamoda","65.800000"
"RC18030","robe-libertine/77-robe-noire-ajouree-vinyl.html","20.500000","Silamoda","45.000000"
"9683","robe-libertine/394-robe-libertine-transparente-filet-et-bandes.html","14.900000","Silamoda","31.200000"
"FP220165","robe-d-ete/81-robe-bustier-effet-metallique.html","27.160000","Starnet","54.300000"
" FP220201","marque/83-robe-florale-asymetrique.html","28.300000","Starnet","56.500000"
"FP220262","robe-de-soiree/87-robe-ajouree-avec-chaines.html","36.220000","Starnet","72.000000"
"FP221123","robe-de-soiree/90-robe-noire-une-manche-design-zig-zag.html","30.560000","Starnet","61.000000"
"FP221206","ensemble-clubwear/91-bustier-noir-metallique.html","26.040000","Starnet","52.000000"
"FP221209","clubwear/92-robe-noire-asymetrique-broadway-.html","31.680000","Starnet","63.000000"
"FP221214","robe-de-soiree/93-robe-feline-poitrine-ouverte.html","31.680000","Starnet","63.000000"
"FP221216","robe-de-soiree/94-robe-noire-elegance.html","34.440000","Starnet","68.500000"
"FP221221","robe-libertine/95-robe-noire-decollete-vertigineux.html","31.680000","Starnet","63.000000"
"8616","fetish/388-top-noir-fetish-transparent-dominique.html","19.530000","Busix-pro","48.000000"
"FP221235","home/97-robe-effet-metal-divisidero.html","28.300000","Starnet","56.500000"
"FP221236","home/98-robe-touches-metalliques-avec-ouverture-cote.html","31.680000","Starnet","63.000000"
"LC90005","robe-libertine/392-robe-libertine-resille-ajouree-rouge.html","18.400000","Starnet","44.000000"
"FP221255","clubwear/101-robe-drapee-avec-bustier-sequin.html","27.160000","Starnet","54.500000"
" FP221257","clubwear/102-robe-noire-beverly.html","36.220000","Starnet","72.500000"
"FP221261","clubwear/103-robe-tube-2-tons-hepburn.html","29.420000","Starnet","59.000000"
" FP221264","robe-libertine/104-robe-courte-animal-sauvage.html","27.160000","Starnet","54.500000"
"FP221277","clubwear/105-robe-blancheur-dhiver.html","28.300000","Starnet","56.500000"
"FP221289","top/106-mini-top-drape.html","19.220000","Starnet","39.500000"
"FP221292","top/107-top-influence-harlem.html","19.220000","Starnet","39.500000"
"FP221314","clubwear/108-robe-noire-la-basique.html","23.980000","Starnet","48.000000"
"FP221318","clubwear/109-robe-noire-drapee-et-irisee.html","31.980000","Starnet","64.000000"
"FP221320","robe-libertine/110-robe-jeu-de-lignes.html","33.220000","Starnet","66.500000"
"FP221325","clubwear/111-robe-tube-lacee-a-l-arriere.html","27.160000","Starnet","54.300000"
"FP221327","clubwear/112-robe-tube-greenwich.html","26.040000","Starnet","52.000000"
"FP221328","robe-libertine/113-robe-noire-effet-mouille-queens.html","34.440000","Starnet","68.900000"
"FP221331","top/114-bandeau-tendance-de-couleur-jaune-fluo.html","8.480000","Starnet","19.000000"
"FP221333","clubwear/115-robe-noire-avec-des-perles-romantiques.html","38.480000","Starnet","77.000000"
" FP221351","top/116-t-shirt-court-noir-tout-en-transparence.html","20.360000","Starnet","40.600000"
"FP221361","top/117-top-noir-transparent-manches-parachutes.html","22.640000","Starnet","45.300000"
"FP221368","clubwear/118-robe-rouge-effet-metallique.html","22.640000","Starnet","45.300000"
"FP221378","clubwear/120-robe-grise-metallique-la-cienega.html","28.950000","Starnet","57.800000"
" FP221383","robe-de-soiree/122-robe-blanche-style-cleopatre.html","46.740000","Starnet","93.500000"
"FP221385","robe-de-soiree/123-robe-de-soiree-longue-pailletee-doree.html","61.100000","Starnet","122.000000"
"DG8088","robe-libertine/133-robe-libertine-voile-ultra-sexy.html","14.900000","Silamoda","33.000000"
"RC18075","robe-libertine/135-robe-cocktail-aspect-vinyl-avec-brillants.html","18.500000","Silamoda","46.000000"
"ESP4131","home/279-robe-cache-coeur-drapee.html","27.940000","Starnet","61.500000"
"PL-21002-BLK","clubwear/141-mini-jupe-en-wetlook-noir.html","8.670000","Shany","25.000000"
"RC18070blktu","clubwear/146-robe-noire-clubwear-ultra-mini.html","18.900000","Silamoda","47.000000"
"RC18054blktu","clubwear/147-robe-courte-hyper-sensuelle-faux-brillants.html","17.900000","Silamoda","47.000000"
"RC18073 ","robe-libertine/148-robe-gogo-danseuse-doree.html","12.950000","Silamoda","31.000000"
"RC18049","home/149-robe-sequin-profond-decollete-drape.html","22.500000","Silamoda","54.000000"
"86327","robe-libertine/163--robe-libertine-geo-ajouree.html","13.180000","Starnet","29.000000"
"Ilona","patrice-catanzaro/164-robe-fetisch-noire-ajouree-ilona-de-patrice-catanzaro.html","51.200000","Silamoda","97.500000"
"Belle de nuit ","marque/165-robe-fetisch-noire-laquee-multi-effets-de-patrice-catanzaro.html","32.500000","Silamoda","62.500000"
"Noemie","fetish/166-robe-fetisch-noire-resille-noemie-patrice-catanzaro.html","38.800000","Silamoda","72.500000"
"Betty","fetish/167-robe-fetisch-voile-noire-et-laquee-a-lacage-de-patrice-catanzaro.html","72.500000","Silamoda","137.500000"
"Sweety","fetish/168-combinaison-noire-fetish-laque-de-patrice-catanzaro.html","57.500000","Silamoda","102.500000"
"Bonbon","marque/169-jupe-noire-droite-fetisch-laque-de-patrice-catanzaro.html","13.900000","Silamoda","26.500000"
"Bonbon Top","marque/170-top-noir-fetish-laque-de-patrice-catanzaro.html","22.100000","Silamoda","42.500000"
"San Marino","robe-libertine/171-robe-laque-fetish-noire-et-resille-transparente-de-patrice-catanzaro.html","32.500000","Silamoda","62.500000"
"Jacee","marque/172-robe-laque-fetish-noire-dos-nu-et-strass-de-patrice-catanzaro.html","50.900000","Silamoda","97.500000"
"HH57","robe-libertine/173-robe-night-fever.html","11.620000","Starnet","26.500000"
"HH58","robe-libertine/174-robe-sage-et-sexy.html","15.020000","Starnet","33.100000"
"HUCW10","robe-de-soiree/175-robe-leopard-zip.html","27.940000","Starnet","61.500000"
"HUCW12","clubwear/176-robe-2-tons-ruchee.html","37.270000","Starnet","82.000000"
"HUCW13","clubwear/177-robe-croisee-effet-metallique.html","41.690000","Starnet","92.300000"
" HUCW14 ","robe-de-soiree/178-robe-cocktail-noire.html","31.040000","Starnet","68.300000"
"HUCW15","home/179-robe-cercles.html","31.040000","Starnet","68.300000"
"HUCW17","clubwear/180-robe-2-tons-ruchee-leopard.html","37.270000","Starnet","82.000000"
"HUCW18","clubwear/181-robe-tube-noire-sequins.html","40.370000","Starnet","88.850000"
"HUCW19","clubwear/182-robe-tube-violette-sequins.html","40.370000","Starnet","88.850000"
"HUCW2","home/183-robe-ouverte-leopard-sequins.html","27.940000","Starnet","61.500000"
"HUCW3","clubwear/184-robe-resille-voile-et-fluo.html","34.610000","Starnet","76.150000"
"HUCW4","clubwear/185-robe-2-tons-leopard.html","34.610000","Starnet","76.150000"
"HUCW5","clubwear/186-robe-noire-drapee-et-sequins.html","30.160000","Starnet","66.350000"
"HUCW7","clubwear/187-robe-rose-effet-metallique.html","37.710000","Starnet","83.000000"
"BN3005","home/188-robe-tres-courte-et-tres-sexy-amelia.html","15.890000","Starnet","34.950000"
"BN3018","robe-libertine/189-robe-libertine-noire-beatrix.html","21.110000","Starnet","46.450000"
"BN3032","robe-libertine/190-robe-libertine-calipso.html","16.810000","Starnet","37.000000"
"BN3076","clubwear/191-robe-rouge-cocktail-danielle.html","19.410000","Starnet","42.700000"
"BN3123","robe-libertine/192-robe-libertine-noire-larissa.html","15.890000","Starnet","34.950000"
"BN3126","robe-de-soiree/193-robe-cocktail-noire-lorraine.html","16.190000","Starnet","35.600000"
"BN4205","clubwear/194-robe-rouge-et-noire-laquee-style-pvc.html","14.950000","Starnet","32.900000"
"BN4217","clubwear/195-robe-noire-elastique-effet-vinyle.html","19.940000","Starnet","43.900000"
"BN4218","robe-libertine/196-robe-voile-noire-et-effet-vinyle-.html","19.670000","Starnet","43.270000"
"BN4225","robe-libertine/197-robe-noire-effet-brillant.html","16.190000","Starnet","35.600000"
"BN4242","robe-libertine/198-mini-robe-noire-thea.html","15.960000","Starnet","35.100000"
"FP221291","robe-de-soiree/199-robe-cocktail-noire-ventura.html","22.060000","Starnet","49.500000"
"FP221536","robe-de-soiree/200-robe-de-soiree-noire-col-montant.html","24.900000","Starnet","55.000000"
"FP221232","home/202-robe-de-soiree-noire-ajouree.html","24.320000","Starnet","52.000000"
"9733","robe-libertine/393-robe-libertine-noire-filet-quadrillage.html","15.900000","Silamoda","33.500000"
"RC1506","clubwear/205-robe-cocktail-dos-nu.html","12.500000","Silamoda","28.000000"
"HUCW16","home/206-robe-noire-sequins-et-zip.html","37.270000","Starnet","82.000000"
"HUCW1","clubwear/207-robe-noire-bustier-drapee-.html","30.160000","Starnet","66.350000"
"OB1432","robe-libertine/208-mini-robe-libertine-totalement-transparente.html","13.130000","Starnet","28.000000"
"GOWN5","robe-de-soiree/209-robe-blanche-cocktail-la-sulfureuse-.html","39.600000","Starnet","87.200000"
"GOWN4","robe-de-soiree/210-robe-noire-cocktail-la-dangereuse.html","39.600000","Starnet","87.200000"
"GOWN3","robe-de-soiree/211-robe-noire-cocktail-la-ravageuse-.html","39.600000","Starnet","87.200000"
"GOWN2","robe-de-soiree/212-robe-rose-cocktail-l-amoureuse.html","39.600000","Starnet","87.200000"
"GOWN1","robe-de-soiree/213-robe-noire-cocktail-la-scandaleuse.html","36.000000","Starnet","80.000000"
"89075","home/214-ensemble-sexy-et-ajoure-qui-devoile-les-formes.html","25.150000","Starnet","53.000000"
"BN4199","home/215-robe-noire-bustier-facon-latex.html","16.190000","Starnet","35.600000"
"BN4196","fetish/216-robe-noire-tissu-effet-mouille.html","17.890000","Starnet","39.350000"
" BN3154","robe-libertine/217-robe-libertine-noire-nicole.html","17.850000","Starnet","39.300000"
"BN4231","robe-libertine/218-robe-noire-libertine.html","115.960000","Starnet","35.100000"
"PA0330","robe-libertine/219-robe-femi.html","15.300000","Starnet","34.000000"
"PA0242","home/220-robe-courte-et-moulante-aton.html","15.820000","Starnet","35.000000"
"PA0172","robe-libertine/221-robe-tres-sexy.html","15.820000","Starnet","35.000000"
"PA0362","robe-libertine/222-robe-effet-mouille-et-dentelle-vena.html","14.930000","Starnet","33.000000"
"PA0361","robe-libertine/223-robe-effet-mouille-et-dentelle-sati.html","14.930000","Starnet","33.000000"
"DF5127","accessoires/224-collier-vip-strass-drape.html","72.000000","Starnet","158.000000"
"DF1391","accessoires/225-parure-de-star-en-strass-reflecteurs.html","18.000000","Starnet","39.500000"
"DF240","accessoires/226-chaine-de-cheville-avec-bague-strass.html","13.500000","Starnet","29.800000"
"DF2547","accessoires/227-bracelet-slave-bague-strass.html","13.500000","Starnet","29.800000"
"DF2703","accessoires/228-chaine-de-cheville-multi-coeurs.html","13.500000","Starnet","29.800000"
"DF2709","accessoires/229-chaine-de-cheville-strass-serpentin.html","13.500000","Starnet","29.800000"
"DF392","accessoires/230-ras-de-cou-strass-avec-anneaux.html","37.500000","Starnet","82.000000"
"DF7252","accessoires/231-boucles-d-oreilles-strass.html","18.000000","Starnet","39.500000"
"CL005","robe-libertine/232-robe-libertine-seductrice-.html","13.000000","Starnet","28.600000"
"CL081","robe-de-soiree/233--robe-de-soiree-satinee.html","14.100000","Starnet","31.000000"
"ESP4008","clubwear/234-robe-decollete-drape.html","31.240000","Starnet","68.750000"
"ESP4014","robe-libertine/235-robe-sexy-decollete-vertigineux.html","26.290000","Starnet","57.850000"
"ESP4091","clubwear/236-robe-noire-zip-rock-attitude.html","31.240000","Starnet","68.750000"
"ESP4093","clubwear/237-robe-brillance-de-satin.html","27.940000","Starnet","61.500000"
