"sku","ps_url","cost","supplier"
"1707","costume-/11-costume-cuisiniere.html","17.370000","G2to"
" 83946","costume-/488-halloween-costume-squelette.html","38.240000","Starnet"
" 83956","costume-/424-halloween-la-marie-morte-qui-sort-de-la-tombe.html","30.580000","Starnet"
" 83974","costume-/490-costume-sorciere-tenebreuse.html","45.880000","Starnet"
" A1056","perruques/429-noeud-gaga.html","9.720000","Starnet"
"1052","accesoires/592-bas-suspendus-gros-pois.html","7.290000","Starnet"
"1058","accesoires/593-bas-noir-noeuds-rubans.html","5.260000","Starnet"
"1509","accesoires/455-bas-noel-douceur-de-nuage.html","6.890000","Starnet"
"1603","costume-/76-ensemble-lapin.html","8.160000","G2to"
"1605","costume-/80-costume-pilote-racing.html","10.250000","G2to"
"1606","costume-/79-combinaison-short-racing.html","9.330000","G2to"
"1607","costume-/115-body-mistigri.html","7.940000","G2to"
"1611XL","costume-/140-robe-racing.html","11.140000","G2to"
"1616XL","grandes-tailles/43-robe-infirmiere.html","13.900000","G2to"
"1618","costume-/59-ensemble-soubrette.html","6.900000","G2to"
"1620","costume-/64-ensemble-police.html","8.200000","G2to"
"1623","costume-/40-ensemble-d-infirmiere.html","6.440000","G2to"
"1629","costume-/86-ensemble-sport-sexy.html","7.330000","G2to"
"1632","costume-/84-ensemble-sport-sexy.html","11.720000","G2to"
"1633","costume-/85-ensemble-sport-sexy.html","8.200000","G2to"
"1634","costume-/87-ensemble-sport-sexy.html","9.960000","G2to"
"1635","costume-/94-costume-ecoliere.html","16.440000","G2to"
"1636","costume-/93-costume-ecoliere.html","14.960000","G2to"
"1637","costume-/92-costume-ecoliere.html","16.340000","G2to"
"1641","costume-/102-costume-matelot.html","17.080000","G2to"
"1642","costume-/103-costume-matelot-pantalon.html","19.330000","G2to"
"1648","costume-/67-costume-de-policiere.html","15.840000","G2to"
"1649","costume-/66-costume-de-policiere.html","19.830000","G2to"
"1651","costume-/141-costume-policier.html","18.900000","G2to"
"1657","costume-/135-costume-charlotte-aux-fraises.html","27.910000","G2to"
