"sku","ps_url","cost","supplier","price"
"8387","lingerie-femme/2557-string-ouvert-boudoir.html","18.040000","Busix-pro","38.500000"
"8643","saint-valentin/2784-string-ouvert-eve-lola-luna.html","18.840000","Busix-pro","41.500000"
"6749","lingerie-homme/2405-slip-sunny.html","10.650000","Busix-pro","20.000000"
"6748","lingerie-homme/2406-mini-slip-sunny.html","8.900000","Busix-pro","18.000000"
"6747","lingerie-homme/2407-t-body-malibu-light.html","20.570000","Busix-pro","41.000000"
"6746","lingerie-homme/2408-t-body-sexy-malibu-light.html","15.320000","Busix-pro","30.500000"
"6745","lingerie-homme/2409-slip-malibu-light.html","12.500000","Busix-pro","25.000000"
"6744","lingerie-homme/2410-boxer-malibu-light.html","12.630000","Busix-pro","25.000000"
"6743","lingerie-homme/2411-string-stripper-malibu-light.html","8.870000","Busix-pro","18.000000"
"6742","lingerie-homme/2412-string-malibu-light.html","7.620000","Busix-pro","15.000000"
"6738","lingerie-homme/2413-boxer-metalic-silver.html","19.250000","Busix-pro","38.500000"
"6737","lingerie-homme/2414-string-metalic-silver.html","10.380000","Busix-pro","20.500000"
"6307","lingerie-homme/2415-string-stripper-army.html","8.400000","Busix-pro","16.500000"
"5961","lingerie-homme/2416-string-chaine-new-look.html","6.600000","Busix-pro","13.500000"
"5959","lingerie-homme/2417-string-stripper-new-look.html","5.520000","Busix-pro","12.000000"
"5956","lingerie-homme/2418-string-hot-night.html","7.800000","Busix-pro","15.000000"
"5955","lingerie-homme/2419--jock-strap-hot-night.html","7.800000","Busix-pro","15.000000"
"5952","lingerie-homme/2420-body-muscle-handsome.html","19.200000","Busix-pro","35.800000"
"5950","lingerie-homme/2421-mini-boxer-handsome.html","12.600000","Busix-pro","23.000000"
"5949","lingerie-homme/2422-string-handsome.html","10.560000","Busix-pro","19.700000"
"5948","lingerie-homme/2423-jock-strap-handsome.html","9.480000","Busix-pro","17.700000"
"8003","string/889-string-bijou-serena.html","14.840000","Busix-pro","31.000000"
"8001","lingerie-femme/890-string-ouvert-jaipur.html","16.120000","Busix-pro","33.500000"
"7959","lingerie-femme/891-micro-string-ouvert-butterfly.html","17.770000","Busix-pro","37.000000"
"5873","lingerie-femme/892-micro-string-togo.html","15.280000","Busix-pro","31.800000"
"Bombay","lingerie-femme/893-string-bombay.html","15.280000","Busix-pro","31.500000"
"PO ","lingerie-femme/125-string-ouvert-po-noir-de-lola-luna.html","15.310000","Busix-pro","29.500000"
"Charlestone ","home/126-string-charlestone-de-lola-luna.html","14.960000","Busix-pro","31.250000"
"Sheerazade","lingerie-femme/128-string-ouvert-sheerazade-de-lola-luna.html","18.870000","Busix-pro","39.500000"
" Isadora","lingerie-femme/129-string-ouvert-isadora-de-lola-luna.html","16.610000","Busix-pro","34.650000"
"Honeymoon","lingerie-femme/130-string-ouvert-honeymoon-de-lola-luna.html","14.720000","Busix-pro","30.750000"
"P.O ","lingerie-femme/524-string-ouvert-po-rouge-et-noir.html","15.190000","Busix-pro","33.000000"
"Irina","lingerie-femme/525-string-irina-lola-luna.html","17.560000","Busix-pro","37.500000"
"Vanina","lingerie-femme/526-string-vanina-lola-luna.html","15.430000","Busix-pro","33.500000"
"Verveine","lingerie-femme/527-string-ouvert-verveine-lola-luna.html","16.030000","Busix-pro","34.650000"
"Kerala","lingerie-femme/528-string-kerala-lola-luna.html","14.900000","Busix-pro","31.250000"
