"Ref. maitre";"Code article";"Designation";"Stock Starnet France";"Etat"
"0011";"0011BSM";"Shorty Galbant ""Jolies Fesses"" Couleur : Noir / Taille : SM";"0";"non_reconduit"
"0011";"0011BXL";"Shorty Galbant ""Jolies Fesses"" Couleur : Noir / Taille : XL";"2";"promo30"
"0011";"0011NSM";"Shorty Galbant ""Jolies Fesses"" Couleur : Chair / Taille : SM";"0";"non_reconduit"
"0011";"0011NXL";"Shorty Galbant ""Jolies Fesses"" Couleur : Chair / Taille : XL";"0";"non_reconduit"
"01ELLA";"01ELLABLK";"Dildo classique design Ella Couleur : Noir";"48";"disponible"
"01ELLA";"01ELLAPNK";"Dildo classique design Ella Couleur : Rose";"0";"commande"
"01ELLA";"01ELLAWHI";"Dildo classique design Ella Couleur : Blanc";"13";"disponible"
"01KIKI";"01KIKICERI";"Kiki Bling Edition  Couleur : Cerise";"8";"disponible"
"02HONI";"02HONIBLK";"Mini Stimulateur Honi Couleur : Noir";"12";"disponible"
"02HONI";"02HONIBLU";"Mini Stimulateur Honi Couleur : Bleu";"16";"disponible"
"02HONI";"02HONICERI";"Mini Stimulateur Honi Couleur : Cerise";"11";"disponible"
"02MIA";"02MIABLK";"Vibromasseur  Mia Couleur : Noir";"0";"non_reconduit"
"02MIA";"02MIALPNK";"Vibromasseur  Mia Couleur : Rose pâle";"7";"destockage"
"02MIA";"02MIAPNK";"Vibromasseur  Mia Couleur : Rose";"0";"non_reconduit"
"04NEA";"04NEABLK";"Stimulateur Clitoridien Nea Couleur : Noir";"15";"disponible"
"04NEA";"04NEAPNK";"Stimulateur Clitoridien Nea Couleur : Rose";"17";"disponible"
"04NEA";"04NEAWHI";"Stimulateur Clitoridien Nea Couleur : Blanc";"7";"disponible"
"05LILY";"05LILYBLK";"Stimulateur Rechargeable Lily Couleur : Noir";"18";"disponible"
"05LILY";"05LILYPNK";"Stimulateur Rechargeable Lily Couleur : Rose";"10";"disponible"
"05LILY";"05LILYPRU";"Stimulateur Rechargeable Lily Couleur : Prune";"10";"disponible"
"06LIV";"06LIVBLU";"Vibromasseur Design Liv Couleur : Bleu";"23";"disponible"
"06LIV";"06LIVCHR";"Vibromasseur Design Liv Couleur : Cerise passion";"11";"disponible"
"06LIV";"06LIVLIGRN";"Vibromasseur Design Liv Couleur : Vert Citron";"14";"disponible"
"06TANO";"06TANOBLK";"Plug Anal Ergonomique Tano Couleur : Noir";"7";"disponible"
"06TANO";"06TANOCERI";"Plug Anal Ergonomique Tano Couleur : Cerise";"15";"disponible"
"06TANO";"06TANOPUR";"Plug Anal Ergonomique Tano Couleur : Mauve";"12";"disponible"
"07GIGI";"07GIGILPNK";"Vibromasseur Elégant Gigi Couleur : Rose pâle";"19";"disponible"
"07GIGI";"07GIGIPNK";"Vibromasseur Elégant Gigi Couleur : Rose";"7";"disponible"
"07GIGI";"07GIGITUR";"Vibromasseur Elégant Gigi Couleur : Turquoise";"16";"disponible"
"07MAHANA";"07MAHANABLK";"Stimulateur Double Tête Mahana Couleur : Noir";"14";"disponible"
"07MAHANA";"07MAHANABLU";"Stimulateur Double Tête Mahana Couleur : Bleu";"18";"disponible"
"07MAHANA";"07MAHANACERI";"Stimulateur Double Tête Mahana Couleur : Cerise";"11";"disponible"
"08MOKA";"08MOKABLU";"Vibromasseur Flexible Moka Couleur : Bleu";"6";"disponible"
"08MOKA";"08MOKACERI";"Vibromasseur Flexible Moka Couleur : Cerise";"13";"disponible"
"08MOKA";"08MOKAPUR";"Vibromasseur Flexible Moka Couleur : Mauve";"13";"disponible"
"08MONA2";"08MONA2CHR";"Mona 2 Couleur : Cerise passion";"0";"commande"
"08MONA2";"08MONA2PUR";"Mona 2 Couleur : Mauve";"15";"disponible"
"08MONA2";"08MONA2RED";"Mona 2 Couleur : Rouge";"13";"disponible"
"0907";"0907BLK";"Collant Voile Transparent Couleur : Noir / Taille : OS";"98";"disponible"
"0907";"0907HBEI";"Collant Voile Transparent Couleur : Beige / Taille : OS";"88";"disponible"
"0907";"0907NUD";"Collant Voile Transparent Couleur : Chair / Taille : OS";"93";"disponible"
"0992";"0992BEG";"Collant Chair Voile Transparent Couleur : Beige / Taille : OS";"48";"disponible"
"0992";"0992BLK";"Collant Chair Voile Transparent Couleur : Noir / Taille : OS";"104";"disponible"
"0992";"0992NUD";"Collant Chair Voile Transparent Couleur : Chair / Taille : OS";"71";"disponible"
"0992";"0992QBEG";"Collant Chair Voile Transparent Couleur : Beige / Taille : PS";"140";"disponible"
"0992";"0992QBLK";"Collant Chair Voile Transparent Couleur : Noir / Taille : PS";"48";"disponible"
"0992";"0992QNUD";"Collant Chair Voile Transparent Couleur : Chair / Taille : PS";"51";"disponible"
"09INA2";"09INA2LIGRN";"Ina 2 Couleur : Vert Citron";"7";"disponible"
"09INA2";"09INA2ORA";"Ina 2 Couleur : Orange";"7";"disponible"
"09INA2";"09INA2PUR";"Ina 2 Couleur : Mauve";"12";"disponible"
"09KAYA";"09KAYABLU";"Vibromasseur Rabbit Flashy Kaya Couleur : Bleu";"2";"disponible"
"09KAYA";"09KAYACERI";"Vibromasseur Rabbit Flashy Kaya Couleur : Cerise";"6";"disponible"
"09KAYA";"09KAYAPUR";"Vibromasseur Rabbit Flashy Kaya Couleur : Mauve";"13";"disponible"
"1000";"1000BEG";"Bas Couture Classique Couleur : Chair / Taille : OS";"106";"disponible"
"1000";"1000BLK";"Bas Couture Classique Couleur : Noir / Taille : OS";"0";"commande"
"1000";"1000QBEG";"Bas Couture Classique Couleur : Chair / Taille : PS";"0";"non_reconduit"
"1000";"1000QBLK";"Bas Couture Classique Couleur : Noir / Taille : PS";"132";"disponible"
"1000";"1000QRED";"Bas Couture Classique Couleur : Rouge / Taille : PS";"0";"non_reconduit"
"1000";"1000QWHI";"Bas Couture Classique Couleur : Blanc / Taille : PS";"0";"non_reconduit"
"1000";"1000RED";"Bas Couture Classique Couleur : Rouge / Taille : OS";"35";"disponible"
"1000";"1000WHI";"Bas Couture Classique Couleur : Blanc / Taille : OS";"40";"disponible"
"1001";"1001BLK";"Bas Voile Classiques Galbants Couleur : Noir / Taille : OS";"197";"disponible"
"1001";"1001NUD";"Bas Voile Classiques Galbants Couleur : Chair / Taille : OS";"102";"disponible"
"1001";"1001QBLK";"Bas Voile Classiques Galbants Couleur : Noir / Taille : PS";"135";"disponible"
"1001";"1001QNUD";"Bas Voile Classiques Galbants Couleur : Chair / Taille : PS";"55";"disponible"
"1001";"1001QRED";"Bas Voile Classiques Galbants Couleur : Rouge / Taille : PS";"62";"disponible"
"1001";"1001QWHI";"Bas Voile Classiques Galbants Couleur : Blanc / Taille : PS";"0";"non_reconduit"
"1001";"1001RED";"Bas Voile Classiques Galbants Couleur : Rouge / Taille : OS";"37";"disponible"
"1001";"1001WHI";"Bas Voile Classiques Galbants Couleur : Blanc / Taille : OS";"116";"disponible"
"1003";"1003BRED";"Bas Passion Couleur : Noir/Rouge / Taille : OS";"0";"non_reconduit"
